Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Announced Date,Announced Date Precision,IPO Date,Website,Twitter,LinkedIn,Top 5 Investors
Coinbase,https://www.crunchbase.com/organization/coinbase,"Bitcoin, Blockchain, Cryptocurrency, FinTech, Trading Platform","San Francisco, California, United States","Coinbase is a crypto exchange and wallet platform that allows merchants and consumers to buy, sell, and store digital currencies.",15,,,2021-04-14,https://www.coinbase.com,https://x.com/coinbase,https://www.linkedin.com/company/coinbase,"Andreessen Horowitz, Y Combinator, Wellington Management, Draper Associates, Union Square Ventures"
Deribit,https://www.crunchbase.com/organization/deribit,"Bitcoin, Cryptocurrency, Financial Services, FinTech","Ermelo, Gelderland, The Netherlands","Deribit is a cryptocurrency derivatives exchange offering options, futures, and spot trading for digital assets.",81,2025-05-08,day,,https://www.deribit.com,https://x.com/DeribitOfficial,https://www.linkedin.com/company/deribit,"10T Holdings, QCP Capital, Akuna Capital, Polybius Capital"
Robinhood,https://www.crunchbase.com/organization/robinhood,"Cryptocurrency, FinTech, Stock Exchanges, Trading Platform","Menlo Park, California, United States","Robinhood is a stock brokerage that allows customers to buy and sell stocks, options, ETFs, and cryptocurrencies with zero commission.",191,,,2021-07-29,https://www.robinhood.com,http://twitter.com/robinhoodapp,https://www.linkedin.com/company/robinhood,"Andreessen Horowitz, Sequoia Capital, LocalGlobe, Index Ventures, Thrive Capital"
WonderFi,https://www.crunchbase.com/organization/defi-ventures,"Bitcoin, Blockchain, Ethereum, Finance, Information Technology","Toronto, Ontario, Canada","WonderFi is a digital asset platform that develops, incubates, and invests in centralized and EVM-compatible decentralized products.",564,2025-05-13,day,2021-09-03,https://www.wonder.fi,https://www.twitter.com/WonderFi,https://www.linkedin.com/company/wonderfi,"Animal Capital, Argo Blockchain, Canaccord Genuity Group, Bigg Digital Assets, Alameda Research"
Applied Digital,https://www.crunchbase.com/organization/applied-blockchain-617a,"Blockchain, Cryptocurrency, Finance","Dallas, Texas, United States","Applied Digital designs, develops and operates next-generation datacenters across North America to provide digital infrastructure solutions.",854,,,2022-04-13,https://ir.applieddigital.com/,https://twitter.com/apldblockchain,https://www.linkedin.com/company/applied-blockchain-inc,"NVIDIA, Macquarie Group, Grand 365 Capital, Related, Sumitomo Mitsui Banking"
Bitdeer Technologies Group,https://www.crunchbase.com/organization/bitdeer,"Blockchain, Cloud Computing, Cryptocurrency, Information Technology","Singapore, Central Region, Singapore",Bitdeer is a provider of digital asset mining services for blockchain and high-performance computing.,"1,240",,,2023-04-14,https://www.bitdeer.com,https://twitter.com/BitDeerOfficial,https://www.linkedin.com/company/bitdeer-group/,"Matrixport, Tether Operations Limited, Genimous"
Bakkt,https://www.crunchbase.com/organization/bakkt,"Cryptocurrency, Financial Services, FinTech, Loyalty Programs","Alpharetta, Georgia, United States","Bakkt is a trusted digital asset platform that enables its customers to buy, sell, spend, send, and redeem digital assets.","1,579",,,2021-10-18,https://www.bakkt.com,https://twitter.com/Bakkt,https://www.linkedin.com/company/bakkt/,"Pantera Capital, CMT Digital, Galaxy Digital, M12 - Microsoft's Venture Fund, SGH CAPITAL"
Trident Digital,https://www.crunchbase.com/organization/trident-digital,"Blockchain, Digital Marketing","Stamford, Connecticut, United States",Trident Digital is restoring market liquidity by providing the next-generation digital asset platform that addresses issues.,"1,638",2025-05-06,day,,https://www.tridig.io,,https://www.linkedin.com/company/tridig,"CMT Digital, White Star Capital, New Form Capital, Permit Ventures, Joint Effects"
Bridge,https://www.crunchbase.com/organization/bridge-05d0,"Cryptocurrency, Developer Tools, Financial Services, FinTech, Software","San Antonio, Texas, United States",Bridge is developer of an application programming interface for money movement within the financial technology sector.,"1,970",2024-10-20,day,,https://www.bridge.xyz,https://x.com/StableCoin,https://www.linkedin.com/company/bridge-apis,"Sequoia Capital, Index Ventures, Haun Ventures, Ribbit Capital, Diogo Mónica"
Lead,https://www.crunchbase.com/organization/lead-bank,"Banking, Cryptocurrency, Finance, Financial Services, FinTech","Kansas City, Missouri, United States",We are building the bank we want to see in the world.,"2,082",2022-08-01,day,,https://www.lead.bank,https://twitter.com/Lead_Bank,https://www.linkedin.com/company/lead-bank,"Andreessen Horowitz, Khosla Ventures, Coatue, Zeev Ventures, Ribbit Capital"
